#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
"Acinetobacter baumannii DU202","Bacteria;Proteobacteria;Gammaproteobacteria","DU202","SAMN02470137","PRJNA213256","GCA_000498375.2","Complete",4.17896,39.3,"chromosome:NZ_CP017152.1/CP017152.1",,1,3850,"2016-09-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/498/375/GCA_000498375.2_ASM49837v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/498/375/GCF_000498375.2_ASM49837v2"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","XH858","SAMN03890256","PRJNA290306","GCA_001578145.1","Complete",4.17261,38.9,"chromosome:NZ_CP014528.1/CP014528.1",,1,3870,"2016-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/578/145/GCA_001578145.1_ASM157814v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/578/145/GCF_001578145.1_ASM157814v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","7804","SAMN07289440","PRJNA311558","GCA_003431385.1","Complete",4.34202,38.9535,"chromosome:NZ_CP022283.1/CP022283.1; plasmid pAba7804a:NZ_CP022284.1/CP022284.1; plasmid pAba7804b:NZ_CP022285.1/CP022285.1",,3,3871,"2017-07-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/431/385/GCA_003431385.1_ASM343138v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/431/385/GCF_003431385.1_ASM343138v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0083","SAMN04014924","PRJNA292904","GCA_002996805.1","Complete",4.15817,39.2897,"chromosome:NZ_CP027528.1/CP027528.1; plasmid unnamed:NZ_CP027529.1/CP027529.1",,2,3854,"2018-03-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/996/805/GCA_002996805.1_ASM299680v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/996/805/GCF_002996805.1_ASM299680v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","P7774","SAMN11621520","PRJNA542432","GCA_005518095.1","Complete",4.36659,39.0123,"chromosome:NZ_CP040259.1/CP040259.1; plasmid unnamed1:NZ_CP040260.1/CP040260.1; plasmid unnamed2:NZ_CP040261.1/CP040261.1; plasmid unnamed3:NZ_CP040262.1/CP040262.1",,4,3968,"2019-05-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/518/095/GCA_005518095.1_ASM551809v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/518/095/GCF_005518095.1_ASM551809v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","VB2486","SAMN14414761","PRJNA613679","GCA_012935005.1","Complete",4.27787,39.172,"chromosome:NZ_CP050403.1/CP050403.1; plasmid pVB2486_1:NZ_CP050404.1/CP050404.1; plasmid pVB2486_2:NZ_CP050405.1/CP050405.1; plasmid pVB2486_3:NZ_CP050406.1/CP050406.1; plasmid pVB2486_4:NZ_CP050407.1/CP050407.1; plasmid pVB2486_5:NZ_CP050408.1/CP050408.1; plasmid pVB2486_6:NZ_CP050409.1/CP050409.1",,7,3968,"2020-04-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/935/005/GCA_012935005.1_ASM1293500v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/935/005/GCF_012935005.1_ASM1293500v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","11W359501","SAMN12015779","PRJNA548265","GCA_006385075.1","Complete",4.13019,39.1,"chromosome:NZ_CP041035.1/CP041035.1",,1,3862,"2019-06-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/385/075/GCA_006385075.1_ASM638507v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/385/075/GCF_006385075.1_ASM638507v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","9201","SAMN07520236","PRJNA311558","GCA_003522665.1","Complete",4.12815,39.0904,"chromosome:NZ_CP023020.1/CP023020.1; plasmid pAba9201a:NZ_CP023021.1/CP023021.1",,2,3919,"2018-09-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/522/665/GCA_003522665.1_ASM352266v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/522/665/GCF_003522665.1_ASM352266v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","XH386","SAMN07135565","PRJNA273343","GCA_003264275.1","Complete",4.22104,39.1664,"chromosome:NZ_CP021326.1/CP021326.1; plasmid pXH386:NZ_CP021327.1/CP021327.1",,2,3952,"2018-06-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/264/275/GCA_003264275.1_ASM326427v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/264/275/GCF_003264275.1_ASM326427v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","abA1","SAMN15778733","PRJNA640471","GCA_015732435.1","Complete",4.10376,39,"chromosome:NZ_CP060732.1/CP060732.1",,1,3806,"2020-12-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/732/435/GCA_015732435.1_ASM1573243v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/732/435/GCF_015732435.1_ASM1573243v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","Ab-D10a-a","SAMN14667516","PRJNA473419","GCA_012931625.1","Complete",4.17473,39.0574,"chromosome:NZ_CP051869.1/CP051869.1; plasmid pAb-D10a-a_1:NZ_CP051870.1/CP051870.1; plasmid pAb-D10a-a_2:NZ_CP051871.1/CP051871.1; plasmid pAb-D10a-a_3:NZ_CP051872.1/CP051872.1; plasmid pAb-D10a-a_4:NZ_CP051873.1/CP051873.1; plasmid pAb-D10a-a_5:NZ_CP051874.1/CP051874.1",,6,3886,"2020-04-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/931/625/GCA_012931625.1_ASM1293162v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/931/625/GCF_012931625.1_ASM1293162v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","KSK10","SAMN18452342","PRJNA716785","GCA_017724155.1","Complete",4.41581,38.9145,"chromosome:CP072280.1; plasmid p1KSK10:CP072281.1; plasmid p2KSK10:CP072282.1; plasmid p3KSK10:CP072283.1; plasmid p4KSK10:CP072284.1",,5,4089,"2021-04-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/724/155/GCA_017724155.1_ASM1772415v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/724/155/GCF_017724155.1_ASM1772415v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","KSK19","SAMN18452699","PRJNA716795","GCA_017726495.1","Complete",4.41463,38.9145,"chromosome:CP072295.1; plasmid p1KSK19:CP072296.1; plasmid p2KSK19:CP072297.1; plasmid p3KSK19:CP072298.1; plasmid p4KSK19:CP072299.1",,5,4089,"2021-04-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/726/495/GCA_017726495.1_ASM1772649v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/726/495/GCF_017726495.1_ASM1772649v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","KSK7","SAMN18452334","PRJNA716782","GCA_017724115.1","Complete",4.39532,38.9283,"chromosome:CP072275.1; plasmid p1KSK7:CP072276.1; plasmid p2KSK7:CP072277.1; plasmid p3KSK7:CP072278.1; plasmid p4KSK7:CP072279.1",,5,4070,"2021-04-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/724/115/GCA_017724115.1_ASM1772411v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/724/115/GCF_017724115.1_ASM1772411v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","KSK18","SAMN18452698","PRJNA716794","GCA_017724215.1","Complete",4.39532,38.9283,"chromosome:CP072290.1; plasmid p1KSK18:CP072291.1; plasmid p2KSK18:CP072292.1; plasmid p3KSK18:CP072293.1; plasmid p4KSK18:CP072294.1",,5,4070,"2021-04-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/724/215/GCA_017724215.1_ASM1772421v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/724/215/GCF_017724215.1_ASM1772421v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","KSK20","SAMN18452712","PRJNA716802","GCA_017726555.1","Complete",4.3954,38.9267,"chromosome:CP072300.1; plasmid p1KSK20:CP072301.1; plasmid p2KSK20:CP072302.1; plasmid p3KSK20:CP072303.1; plasmid p4KSK20:CP072304.1",,5,4066,"2021-04-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/726/555/GCA_017726555.1_ASM1772655v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/726/555/GCF_017726555.1_ASM1772655v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0070","SAMN04014911","PRJNA316321","GCA_003431865.1","Complete",4.3173,39.1488,"chromosome:NZ_CP027178.1/CP027178.1; plasmid unnamed1:NZ_CP027179.1/CP027179.1; plasmid unnamed2:NZ_CP027180.1/CP027180.1; plasmid unnamed3:NZ_CP027181.1/CP027181.1; plasmid unnamed4:NZ_CP027182.1/CP027182.1",,5,4000,"2018-02-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/431/865/GCA_003431865.1_ASM343186v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/431/865/GCF_003431865.1_ASM343186v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","6507","SAMN09244200","PRJNA472798","GCA_009455505.1","Complete",4.09213,39,"chromosome:NZ_CP045528.1/CP045528.1",,1,3762,"2019-11-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/455/505/GCA_009455505.1_ASM945550v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/455/505/GCF_009455505.1_ASM945550v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","Ab-B004d-c","SAMN14667515","PRJNA473419","GCA_012931645.1","Complete",4.15912,39.0606,"chromosome:NZ_CP051875.1/CP051875.1; plasmid pAb-B004d-c_1:NZ_CP051876.1/CP051876.1; plasmid pAb-B004d-c_2:NZ_CP051877.1/CP051877.1; plasmid pAb-B004d-c_3:NZ_CP051878.1/CP051878.1; plasmid pAb-B004d-c_4:NZ_CP051879.1/CP051879.1",,5,3882,"2020-04-29T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/931/645/GCA_012931645.1_ASM1293164v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/931/645/GCF_012931645.1_ASM1293164v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","KSK6","SAMN18452234","PRJNA716781","GCA_017723975.1","Complete",4.39075,38.9282,"chromosome:CP072270.1; plasmid p1KSK6:CP072271.1; plasmid p2KSK6:CP072272.1; plasmid p3KSK6:CP072273.1; plasmid p4KSK6:CP072274.1",,5,4066,"2021-04-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/723/975/GCA_017723975.1_ASM1772397v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/723/975/GCF_017723975.1_ASM1772397v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","810CP","SAMN07559626","PRJNA311558","GCA_003345235.1","Complete",4.11106,38.9827,"chromosome:NZ_CP026338.1/CP026338.1; plasmid pAba810CPa:NZ_CP026340.1/CP026340.1; plasmid pAba810CPb:NZ_CP026339.1/CP026339.1",,3,3824,"2018-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/345/235/GCA_003345235.1_ASM334523v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/345/235/GCF_003345235.1_ASM334523v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AbCTX1","SAMN15501054","PRJNA644570","GCA_016864295.1","Complete",4.08888,39.3,"chromosome:NZ_CP060029.1/CP060029.1",,1,3628,"2021-02-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/864/295/GCA_016864295.1_ASM1686429v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/864/295/GCF_016864295.1_ASM1686429v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","XH386","SAMN03290686","PRJNA273343","GCA_001026965.1","Complete",4.1995,39.1641,"chromosome:NZ_CP010779.1/CP010779.1; plasmid pAB386:NZ_CP010780.1/CP010780.1",,2,3928,"2015-06-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/026/965/GCA_001026965.1_ASM102696v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/026/965/GCF_001026965.1_ASM102696v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","KBN10P02143","SAMN03941550","PRJNA291316","GCA_001514375.1","Complete",4.1394,39.0657,"chromosome:NZ_CP013924.1/CP013924.1; plasmid pKBN10P02143:NZ_CP013925.1/CP013925.1",,2,3856,"2016-01-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/514/375/GCA_001514375.1_ASM151437v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/514/375/GCF_001514375.1_ASM151437v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","VB16141","SAMN11557458","PRJNA540767","GCA_005280435.1","Complete",4.27799,39.1137,"chromosome:NZ_CP040050.1/CP040050.1; plasmid unnamed1:NZ_CP040051.1/CP040051.1; plasmid unnamed2:NZ_CP040052.1/CP040052.1",,3,3905,"2019-05-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/280/435/GCA_005280435.1_ASM528043v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/280/435/GCF_005280435.1_ASM528043v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","MS14413","SAMN14859482","PRJNA631347","GCA_013305465.1","Complete",4.0825,39,"chromosome:NZ_CP054302.1/CP054302.1",,1,3756,"2020-06-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/305/465/GCA_013305465.1_ASM1330546v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/305/465/GCF_013305465.1_ASM1330546v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","KSK2","SAMN18451305","PRJNA716762","GCA_017742855.1","Complete",4.40028,39.007,"chromosome:CP072398.1; plasmid p1KSK2:CP072399.1; plasmid p2KSK2:CP072400.1; plasmid p3KSK2:CP072401.1; plasmid p4KSK2:CP072402.1",,5,4076,"2021-04-04T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/742/855/GCA_017742855.1_ASM1774285v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/742/855/GCF_017742855.1_ASM1774285v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","KSK11","SAMN18452659","PRJNA716790","GCA_017724195.1","Complete",4.399,39.0069,"chromosome:CP072285.1; plasmid p1KSK11:CP072286.1; plasmid p2KSK11:CP072287.1; plasmid p3KSK11:CP072288.1; plasmid p4KSK11:CP072289.1",,5,4076,"2021-04-03T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/724/195/GCA_017724195.1_ASM1772419v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/724/195/GCF_017724195.1_ASM1772419v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AR_0052","SAMN04014893","PRJNA316321","GCA_003547115.1","Complete",4.28892,39.1644,"chromosome:NZ_CP027183.1/CP027183.1; plasmid unnamed1:NZ_CP027185.1/CP027185.1; plasmid unnamed2:NZ_CP027184.1/CP027184.1; plasmid unnamed3:NZ_CP027187.1/CP027187.1; plasmid unnamed4:NZ_CP027186.1/CP027186.1",,5,3941,"2018-02-28T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/547/115/GCA_003547115.1_ASM354711v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/547/115/GCF_003547115.1_ASM354711v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","HWBA8","SAMN06650239","PRJNA380857","GCA_002082785.1","Complete",4.27355,39.0596,"chromosome:NZ_CP020597.1/CP020597.1; plasmid pHWBA8_1:NZ_CP020596.1/CP020596.1",,2,3924,"2017-04-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/082/785/GCA_002082785.1_ASM208278v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/785/GCF_002082785.1_ASM208278v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","YU-R612","SAMN04448797","PRJNA309091","GCA_001543995.1","Complete",4.15525,38.9946,"chromosome:NZ_CP014215.1/CP014215.1; plasmid unnamed1:NZ_CP014216.1/CP014216.1; plasmid unnamed2:NZ_CP014217.1/CP014217.1",,3,3884,"2016-02-02T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/543/995/GCA_001543995.1_ASM154399v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/543/995/GCF_001543995.1_ASM154399v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","2014BJAB1","SAMN15538700","PRJNA646312","GCA_017098205.1","Complete",4.06963,39.1,"chromosome:NZ_CP059354.1/CP059354.1",,1,3760,"2021-03-01T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/098/205/GCA_017098205.1_ASM1709820v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/098/205/GCF_017098205.1_ASM1709820v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","AbCTX13","SAMN15501316","PRJNA644570","GCA_016864915.1","Complete",4.09287,39.0746,"chromosome:NZ_CP059729.1/CP059729.1; plasmid pAbCTX13_17kb:NZ_CP059731.1/CP059731.1; plasmid pAbCTX13_7kb:NZ_CP059730.1/CP059730.1",,3,3612,"2021-02-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/864/915/GCA_016864915.1_ASM1686491v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/864/915/GCF_016864915.1_ASM1686491v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","DT-Ab020","SAMN14308864","PRJNA612123","GCA_012272755.1","Complete",4.14749,38.9957,"chromosome:NZ_CP050911.1/CP050911.1; plasmid unnamed1:NZ_CP050912.1/CP050912.1; plasmid unnamed2:NZ_CP050913.1/CP050913.1",,3,3862,"2020-04-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/272/755/GCA_012272755.1_ASM1227275v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/272/755/GCF_012272755.1_ASM1227275v1"
"Acinetobacter baumannii","Bacteria;Proteobacteria;Gammaproteobacteria","D36","SAMN04029125","PRJNA294725","GCA_001399655.1","Complete",4.13116,39.0206,"chromosome:NZ_CP012952.1/CP012952.1; plasmid pD36-1:NZ_CP012953.1/CP012953.1; plasmid pD36-3:NZ_CP012955.1/CP012955.1; plasmid pD36-4:NZ_CP012956.1/CP012956.1; plasmid pRAY* (pD36-2):NZ_CP012954.1/CP012954.1",,5,3814,"2015-10-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/399/655/GCA_001399655.1_ASM139965v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/399/655/GCF_001399655.1_ASM139965v1"
"Acinetobacter baumannii AB0057","Bacteria;Proteobacteria;Gammaproteobacteria","AB0057","SAMN02603051","PRJNA21111","GCA_000021245.2","Complete",4.06388,39.1897,"chromosome:NC_011586.2/CP001182.2; plasmid pAB0057:NC_011585.2/CP001183.2",,2,3762,"2008-11-17T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/245/GCA_000021245.2_ASM2124v2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/245/GCF_000021245.2_ASM2124v2"
